AGE|AGE_SPECIFIC_CI_LOWER|AGE_SPECIFIC_CI_UPPER|AGE_SPECIFIC_RATE|COUNT|ICCC_GROUP|POPULATION|YEAR
<1|~|~|~|~|I(d) Myelodysplastic syndrome and other myeloproliferative diseases|3767637|2000
1-4|1.2|2.7|1.9|28|I(e) Unspecified and other specified leukemias|14974472|2000
10-14|0.5|1.3|0.8|16|I(e) Unspecified and other specified leukemias|20164744|2000
15-19|0.8|1.9|1.3|25|I(e) Unspecified and other specified leukemias|19799255|2000
5-9|0.6|1.6|1.0|21|I(e) Unspecified and other specified leukemias|20008051|2000
<1|2.6|7.2|4.5|17|I(e) Unspecified and other specified leukemias|3767637|2000
1-4|7.9|11.1|9.4|141|II Lymphomas and reticuloendothelial neoplasms|14974472|2000
10-14|22.6|27.0|24.7|499|II Lymphomas and reticuloendothelial neoplasms|20164744|2000
15-19|46.2|52.4|49.2|974|II Lymphomas and reticuloendothelial neoplasms|19799255|2000
5-9|13.5|16.9|15.1|303|II Lymphomas and reticuloendothelial neoplasms|20008051|2000
<1|6.2|12.6|9.0|34|II Lymphomas and reticuloendothelial neoplasms|3767637|2000
1-4|0.6|1.7|1.1|16|II(a) Hodgkin lymphomas|14974472|2000
10-14|11.2|14.4|12.7|257|II(a) Hodgkin lymphomas|20164744|2000
15-19|29.0|34.0|31.5|623|II(a) Hodgkin lymphomas|19799255|2000
5-9|2.8|4.5|3.5|71|II(a) Hodgkin lymphomas|20008051|2000
<1|~|~|~|~|II(a) Hodgkin lymphomas|3767637|2000
1-4|2.8|4.9|3.7|56|II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma)|14974472|2000
10-14|7.0|9.6|8.2|166|II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma)|20164744|2000
15-19|13.0|16.4|14.6|289|II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma)|19799255|2000
5-9|5.2|7.4|6.2|124|II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma)|20008051|2000
<1|~|~|~|~|II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma)|3767637|2000
1-4|1.4|2.9|2.0|30|II(c) Burkitt lymphoma|14974472|2000
10-14|2.1|3.7|2.8|57|II(c) Burkitt lymphoma|20164744|2000
15-19|1.7|3.0|2.3|45|II(c) Burkitt lymphoma|19799255|2000
5-9|3.1|4.9|3.9|79|II(c) Burkitt lymphoma|20008051|2000
<1|~|~|~|~|II(c) Burkitt lymphoma|3767637|2000
1-4|1.5|3.0|2.1|32|II(d) Miscellaneous lymphoreticular neoplasms|14974472|2000
10-14|~|~|~|~|II(d) Miscellaneous lymphoreticular neoplasms|20164744|2000
15-19|~|~|~|~|II(d) Miscellaneous lymphoreticular neoplasms|19799255|2000
5-9|~|~|~|~|II(d) Miscellaneous lymphoreticular neoplasms|20008051|2000
<1|3.9|9.2|6.1|23|II(d) Miscellaneous lymphoreticular neoplasms|3767637|2000
1-4|~|~|~|~|II(e) Unspecified lymphomas|14974472|2000
10-14|~|~|~|~|II(e) Unspecified lymphomas|20164744|2000
15-19|~|~|~|~|II(e) Unspecified lymphomas|19799255|2000
5-9|0.5|1.4|0.9|18|II(e) Unspecified lymphomas|20008051|2000
<1|~|~|~|~|II(e) Unspecified lymphomas|3767637|2000
1-4|36.9|43.4|40.1|600|III CNS and misc intracranial and intraspinal neoplasms|14974472|2000
10-14|25.5|30.2|27.8|560|III CNS and misc intracranial and intraspinal neoplasms|20164744|2000
15-19|19.5|23.7|21.5|426|III CNS and misc intracranial and intraspinal neoplasms|19799255|2000
5-9|30.6|35.7|33.0|661|III CNS and misc intracranial and intraspinal neoplasms|20008051|2000
<1|29.1|41.3|34.8|131|III CNS and misc intracranial and intraspinal neoplasms|3767637|2000
1-4|3.9|6.2|4.9|74|III(a) Ependymomas and choroid plexus tumor|14974472|2000
10-14|1.0|2.1|1.5|30|III(a) Ependymomas and choroid plexus tumor|20164744|2000
15-19|0.9|1.9|1.3|26|III(a) Ependymomas and choroid plexus tumor|19799255|2000
5-9|1.6|3.0|2.2|45|III(a) Ependymomas and choroid plexus tumor|20008051|2000
<1|~|~|~|~|III(a) Ependymomas and choroid plexus tumor|3767637|2000
1-4|17.1|21.7|19.3|289|III(b) Astrocytomas|14974472|2000
10-14|14.7|18.3|16.5|332|III(b) Astrocytomas|20164744|2000
15-19|10.3|13.4|11.8|233|III(b) Astrocytomas|19799255|2000
5-9|14.7|18.3|16.4|328|III(b) Astrocytomas|20008051|2000
<1|11.9|20.2|15.7|59|III(b) Astrocytomas|3767637|2000
1-4|8.1|11.3|9.6|144|III(c) Intracranial and intraspinal embryonal tumors|14974472|2000
10-14|4.0|6.0|5.0|100|III(c) Intracranial and intraspinal embryonal tumors|20164744|2000
15-19|2.5|4.1|3.2|64|III(c) Intracranial and intraspinal embryonal tumors|19799255|2000
5-9|7.1|9.7|8.3|166|III(c) Intracranial and intraspinal embryonal tumors|20008051|2000
<1|6.5|12.9|9.3|35|III(c) Intracranial and intraspinal embryonal tumors|3767637|2000
1-4|3.7|6.0|4.7|71|III(d) Other gliomas|14974472|2000
10-14|3.1|4.9|3.9|79|III(d) Other gliomas|20164744|2000
15-19|3.4|5.3|4.2|84|III(d) Other gliomas|19799255|2000
5-9|4.5|6.6|5.4|109|III(d) Other gliomas|20008051|2000
<1|~|~|~|~|III(d) Other gliomas|3767637|2000
1-4|~|~|~|~|III(e) Other specified intracranial & intraspinal neoplasms|14974472|2000
10-14|~|~|~|~|III(e) Other specified intracranial & intraspinal neoplasms|20164744|2000
15-19|~|~|~|~|III(e) Other specified intracranial & intraspinal neoplasms|19799255|2000
5-9|~|~|~|~|III(e) Other specified intracranial & intraspinal neoplasms|20008051|2000
<1|~|~|~|~|III(e) Other specified intracranial & intraspinal neoplasms|3767637|2000
1-4|~|~|~|~|III(f) Unspecified intracranial and intraspinal neoplasms|14974472|2000
10-14|~|~|~|~|III(f) Unspecified intracranial and intraspinal neoplasms|20164744|2000
15-19|~|~|~|~|III(f) Unspecified intracranial and intraspinal neoplasms|19799255|2000
5-9|~|~|~|~|III(f) Unspecified intracranial and intraspinal neoplasms|20008051|2000
<1|~|~|~|~|III(f) Unspecified intracranial and intraspinal neoplasms|3767637|2000
1-4|17.4|21.9|19.6|293|IV Neuroblastoma and other peripheral nervous cell tumors|14974472|2000
10-14|0.8|1.9|1.3|26|IV Neuroblastoma and other peripheral nervous cell tumors|20164744|2000
15-19|~|~|~|~|IV Neuroblastoma and other peripheral nervous cell tumors|19799255|2000
5-9|2.4|4.0|3.1|62|IV Neuroblastoma and other peripheral nervous cell tumors|20008051|2000
<1|47.7|63.0|54.9|207|IV Neuroblastoma and other peripheral nervous cell tumors|3767637|2000
1-4|17.4|21.9|19.6|293|IV(a) Neuroblastoma and ganglioneuroblastoma|14974472|2000
10-14|0.6|1.6|1.0|21|IV(a) Neuroblastoma and ganglioneuroblastoma|20164744|2000
15-19|~|~|~|~|IV(a) Neuroblastoma and ganglioneuroblastoma|19799255|2000
5-9|2.3|3.9|3.0|60|IV(a) Neuroblastoma and ganglioneuroblastoma|20008051|2000
<1|47.7|63.0|54.9|207|IV(a) Neuroblastoma and ganglioneuroblastoma|3767637|2000
1-4|~|~|~|~|IV(b) Other peripheral nervous cell tumors|14974472|2000
10-14|~|~|~|~|IV(b) Other peripheral nervous cell tumors|20164744|2000
15-19|~|~|~|~|IV(b) Other peripheral nervous cell tumors|19799255|2000
5-9|~|~|~|~|IV(b) Other peripheral nervous cell tumors|20008051|2000
<1|~|~|~|~|IV(b) Other peripheral nervous cell tumors|3767637|2000
1-4|9.4|12.8|11.0|165|IX Soft tissue and other extraosseous sarcomas|14974472|2000
10-14|10.0|13.0|11.5|231|IX Soft tissue and other extraosseous sarcomas|20164744|2000
15-19|14.7|18.3|16.4|325|IX Soft tissue and other extraosseous sarcomas|19799255|2000
5-9|6.7|9.2|7.9|158|IX Soft tissue and other extraosseous sarcomas|20008051|2000
<1|12.4|20.8|16.2|61|IX Soft tissue and other extraosseous sarcomas|3767637|2000
1-4|7.1|10.2|8.5|128|IX(a) Rhabdomyosarcomas|14974472|2000
10-14|3.0|4.8|3.8|77|IX(a) Rhabdomyosarcomas|20164744|2000
15-19|2.9|4.7|3.7|74|IX(a) Rhabdomyosarcomas|19799255|2000
5-9|3.0|4.8|3.8|77|IX(a) Rhabdomyosarcomas|20008051|2000
<1|4.7|10.4|7.2|27|IX(a) Rhabdomyosarcomas|3767637|2000
1-4|~|~|~|~|IX(b) Fibrosarcomas, peripheral nerve sheath tumors & other fibrous neoplams|14974472|2000
10-14|0.6|1.6|1.0|21|IX(b) Fibrosarcomas, peripheral nerve sheath tumors & other fibrous neoplams|20164744|2000
15-19|1.4|2.6|1.9|38|IX(b) Fibrosarcomas, peripheral nerve sheath tumors & other fibrous neoplams|19799255|2000
5-9|~|~|~|~|IX(b) Fibrosarcomas, peripheral nerve sheath tumors & other fibrous neoplams|20008051|2000
<1|2.4|6.9|4.2|16|IX(b) Fibrosarcomas, peripheral nerve sheath tumors & other fibrous neoplams|3767637|2000
1-4|~|~|~|~|IX(c) Kaposi sarcoma|14974472|2000
10-14|~|~|~|~|IX(c) Kaposi sarcoma|20164744|2000
15-19|~|~|~|~|IX(c) Kaposi sarcoma|19799255|2000
5-9|~|~|~|~|IX(c) Kaposi sarcoma|20008051|2000
<1|~|~|~|~|IX(c) Kaposi sarcoma|3767637|2000
1-4|0.9|2.2|1.5|22|IX(d) Other specified soft tissue sarcomas|14974472|2000
10-14|4.0|6.0|4.9|99|IX(d) Other specified soft tissue sarcomas|20164744|2000
15-19|7.2|9.8|8.4|166|IX(d) Other specified soft tissue sarcomas|19799255|2000
5-9|1.9|3.4|2.6|52|IX(d) Other specified soft tissue sarcomas|20008051|2000
<1|~|~|~|~|IX(d) Other specified soft tissue sarcomas|3767637|2000
1-4|~|~|~|~|IX(e) Unspecified soft tissue sarcomas|14974472|2000
10-14|1.2|2.4|1.7|34|IX(e) Unspecified soft tissue sarcomas|20164744|2000
15-19|1.6|3.0|2.2|44|IX(e) Unspecified soft tissue sarcomas|19799255|2000
5-9|0.6|1.5|0.9|19|IX(e) Unspecified soft tissue sarcomas|20008051|2000
<1|~|~|~|~|IX(e) Unspecified soft tissue sarcomas|3767637|2000
1-4|~|~|~|~|Not classified by ICCC|14974472|2000
10-14|~|~|~|~|Not classified by ICCC|20164744|2000
15-19|~|~|~|~|Not classified by ICCC|19799255|2000
5-9|~|~|~|~|Not classified by ICCC|20008051|2000
<1|~|~|~|~|Not classified by ICCC|3767637|2000
1-4|7.9|11.1|9.4|141|V Retinoblastoma|14974472|2000
10-14|~|~|~|~|V Retinoblastoma|20164744|2000
15-19|~|~|~|~|V Retinoblastoma|19799255|2000
5-9|~|~|~|~|V Retinoblastoma|20008051|2000
<1|22.3|33.2|27.3|103|V Retinoblastoma|3767637|2000
1-4|18.9|23.6|21.2|317|VI Renal tumors|14974472|2000
10-14|0.7|1.7|1.1|22|VI Renal tumors|20164744|2000
15-19|0.7|1.7|1.2|23|VI Renal tumors|19799255|2000
5-9|5.2|7.4|6.2|124|VI Renal tumors|20008051|2000
<1|10.3|18.1|13.8|52|VI Renal tumors|3767637|2000
1-4|18.7|23.4|21.0|314|VI(a) Nephroblastoma and other nonepithelial renal tumors|14974472|2000
10-14|~|~|~|~|VI(a) Nephroblastoma and other nonepithelial renal tumors|20164744|2000
15-19|~|~|~|~|VI(a) Nephroblastoma and other nonepithelial renal tumors|19799255|2000
5-9|4.8|7.0|5.8|117|VI(a) Nephroblastoma and other nonepithelial renal tumors|20008051|2000
<1|10.3|18.1|13.8|52|VI(a) Nephroblastoma and other nonepithelial renal tumors|3767637|2000
1-4|~|~|~|~|VI(b) Renal carcinomas|14974472|2000
10-14|~|~|~|~|VI(b) Renal carcinomas|20164744|2000
15-19|~|~|~|~|VI(b) Renal carcinomas|19799255|2000
5-9|~|~|~|~|VI(b) Renal carcinomas|20008051|2000
<1|~|~|~|~|VI(b) Renal carcinomas|3767637|2000
1-4|~|~|~|~|VI(c) Unspecified malignant renal tumors|14974472|2000
10-14|~|~|~|~|VI(c) Unspecified malignant renal tumors|20164744|2000
15-19|~|~|~|~|VI(c) Unspecified malignant renal tumors|19799255|2000
5-9|~|~|~|~|VI(c) Unspecified malignant renal tumors|20008051|2000
<1|~|~|~|~|VI(c) Unspecified malignant renal tumors|3767637|2000
1-4|3.4|5.6|4.4|66|VII Hepatic tumors|14974472|2000
10-14|0.5|1.3|0.8|17|VII Hepatic tumors|20164744|2000
15-19|~|~|~|~|VII Hepatic tumors|19799255|2000
5-9|~|~|~|~|VII Hepatic tumors|20008051|2000
<1|7.8|14.8|10.9|41|VII Hepatic tumors|3767637|2000
1-4|3.4|5.6|4.4|66|VII(a) Hepatoblastoma|14974472|2000
10-14|~|~|~|~|VII(a) Hepatoblastoma|20164744|2000
15-19|~|~|~|~|VII(a) Hepatoblastoma|19799255|2000
5-9|~|~|~|~|VII(a) Hepatoblastoma|20008051|2000
<1|7.1|13.8|10.1|38|VII(a) Hepatoblastoma|3767637|2000
1-4|~|~|~|~|VII(b) Hepatic carcinomas|14974472|2000
10-14|~|~|~|~|VII(b) Hepatic carcinomas|20164744|2000
15-19|~|~|~|~|VII(b) Hepatic carcinomas|19799255|2000
5-9|~|~|~|~|VII(b) Hepatic carcinomas|20008051|2000
<1|~|~|~|~|VII(b) Hepatic carcinomas|3767637|2000
1-4|~|~|~|~|VII(c) Unspecified malignant hepatic tumors|14974472|2000
10-14|~|~|~|~|VII(c) Unspecified malignant hepatic tumors|20164744|2000
15-19|~|~|~|~|VII(c) Unspecified malignant hepatic tumors|19799255|2000
5-9|~|~|~|~|VII(c) Unspecified malignant hepatic tumors|20008051|2000
<1|~|~|~|~|VII(c) Unspecified malignant hepatic tumors|3767637|2000
1-4|0.7|1.9|1.2|18|VIII Malignant bone tumors|14974472|2000
10-14|11.7|14.9|13.2|266|VIII Malignant bone tumors|20164744|2000
15-19|12.3|15.6|13.9|275|VIII Malignant bone tumors|19799255|2000
5-9|4.1|6.1|5.0|100|VIII Malignant bone tumors|20008051|2000
<1|~|~|~|~|VIII Malignant bone tumors|3767637|2000
1-4|~|~|~|~|VIII(a) Osteosarcomas|14974472|2000
10-14|6.4|8.8|7.5|152|VIII(a) Osteosarcomas|20164744|2000
15-19|7.0|9.5|8.2|162|VIII(a) Osteosarcomas|19799255|2000
5-9|2.0|3.5|2.7|54|VIII(a) Osteosarcomas|20008051|2000
<1|~|~|~|~|VIII(a) Osteosarcomas|3767637|2000
1-4|~|~|~|~|VIII(b) Chondrosarcomas|14974472|2000
10-14|~|~|~|~|VIII(b) Chondrosarcomas|20164744|2000
15-19|~|~|~|~|VIII(b) Chondrosarcomas|19799255|2000
5-9|~|~|~|~|VIII(b) Chondrosarcomas|20008051|2000
<1|~|~|~|~|VIII(b) Chondrosarcomas|3767637|2000
1-4|~|~|~|~|VIII(c) Ewing tumor and related sarcomas of bone|14974472|2000
10-14|3.9|5.8|4.8|96|VIII(c) Ewing tumor and related sarcomas of bone|20164744|2000
15-19|3.4|5.3|4.2|84|VIII(c) Ewing tumor and related sarcomas of bone|19799255|2000
5-9|1.6|3.0|2.2|45|VIII(c) Ewing tumor and related sarcomas of bone|20008051|2000
<1|~|~|~|~|VIII(c) Ewing tumor and related sarcomas of bone|3767637|2000
1-4|~|~|~|~|VIII(d) Other specified malignant bone tumors|14974472|2000
10-14|~|~|~|~|VIII(d) Other specified malignant bone tumors|20164744|2000
15-19|~|~|~|~|VIII(d) Other specified malignant bone tumors|19799255|2000
5-9|~|~|~|~|VIII(d) Other specified malignant bone tumors|20008051|2000
<1|~|~|~|~|VIII(d) Other specified malignant bone tumors|3767637|2000
1-4|~|~|~|~|VIII(e) Unspecified malignant bone tumors|14974472|2000
10-14|~|~|~|~|VIII(e) Unspecified malignant bone tumors|20164744|2000
15-19|~|~|~|~|VIII(e) Unspecified malignant bone tumors|19799255|2000
5-9|~|~|~|~|VIII(e) Unspecified malignant bone tumors|20008051|2000
<1|~|~|~|~|VIII(e) Unspecified malignant bone tumors|3767637|2000
1-4|1.9|3.6|2.7|40|X Germ cell, trophoblastic tumors & neoplasms of gonads|14974472|2000
10-14|5.6|7.9|6.6|134|X Germ cell, trophoblastic tumors & neoplasms of gonads|20164744|2000
15-19|25.6|30.3|27.9|552|X Germ cell, trophoblastic tumors & neoplasms of gonads|19799255|2000
5-9|2.0|3.5|2.7|54|X Germ cell, trophoblastic tumors & neoplasms of gonads|20008051|2000
<1|12.8|21.4|16.7|63|X Germ cell, trophoblastic tumors & neoplasms of gonads|3767637|2000
1-4|~|~|~|~|X(a) Intracranial & intraspinal germ cell tumors|14974472|2000
10-14|1.7|3.0|2.3|46|X(a) Intracranial & intraspinal germ cell tumors|20164744|2000
15-19|1.6|3.0|2.2|44|X(a) Intracranial & intraspinal germ cell tumors|19799255|2000
5-9|0.9|2.0|1.3|27|X(a) Intracranial & intraspinal germ cell tumors|20008051|2000
<1|~|~|~|~|X(a) Intracranial & intraspinal germ cell tumors|3767637|2000
1-4|0.7|1.8|1.1|17|X(b) Malignant extracranial & extragonadal germ cell tumors|14974472|2000
10-14|~|~|~|~|X(b) Malignant extracranial & extragonadal germ cell tumors|20164744|2000
15-19|1.6|2.9|2.2|43|X(b) Malignant extracranial & extragonadal germ cell tumors|19799255|2000
5-9|~|~|~|~|X(b) Malignant extracranial & extragonadal germ cell tumors|20008051|2000
<1|8.0|15.1|11.1|42|X(b) Malignant extracranial & extragonadal germ cell tumors|3767637|2000
1-4|0.7|1.8|1.1|17|X(c) Malignant gonadal germ cell tumors|14974472|2000
10-14|2.9|4.7|3.7|75|X(c) Malignant gonadal germ cell tumors|20164744|2000
15-19|19.4|23.6|21.4|424|X(c) Malignant gonadal germ cell tumors|19799255|2000
5-9|0.8|1.8|1.2|24|X(c) Malignant gonadal germ cell tumors|20008051|2000
<1|~|~|~|~|X(c) Malignant gonadal germ cell tumors|3767637|2000
1-4|~|~|~|~|X(d) Gonadal carcinomas|14974472|2000
10-14|~|~|~|~|X(d) Gonadal carcinomas|20164744|2000
15-19|1.0|2.1|1.5|29|X(d) Gonadal carcinomas|19799255|2000
5-9|~|~|~|~|X(d) Gonadal carcinomas|20008051|2000
<1|~|~|~|~|X(d) Gonadal carcinomas|3767637|2000
1-4|~|~|~|~|X(e) Other and unspecified malignant gonadal tumors|14974472|2000
10-14|~|~|~|~|X(e) Other and unspecified malignant gonadal tumors|20164744|2000
15-19|~|~|~|~|X(e) Other and unspecified malignant gonadal tumors|19799255|2000
5-9|~|~|~|~|X(e) Other and unspecified malignant gonadal tumors|20008051|2000
<1|~|~|~|~|X(e) Other and unspecified malignant gonadal tumors|3767637|2000
1-4|1.2|2.7|1.9|28|XI Other malignant epithelial neoplasms and malignant melanomas|14974472|2000
10-14|10.5|13.6|12.0|242|XI Other malignant epithelial neoplasms and malignant melanomas|20164744|2000
15-19|42.0|48.0|44.9|889|XI Other malignant epithelial neoplasms and malignant melanomas|19799255|2000
5-9|2.3|3.9|3.0|61|XI Other malignant epithelial neoplasms and malignant melanomas|20008051|2000
<1|~|~|~|~|XI Other malignant epithelial neoplasms and malignant melanomas|3767637|2000
1-4|~|~|~|~|XI(a) Adrenocortical carcinomas|14974472|2000
10-14|~|~|~|~|XI(a) Adrenocortical carcinomas|20164744|2000
15-19|~|~|~|~|XI(a) Adrenocortical carcinomas|19799255|2000
5-9|~|~|~|~|XI(a) Adrenocortical carcinomas|20008051|2000
<1|~|~|~|~|XI(a) Adrenocortical carcinomas|3767637|2000
1-4|~|~|~|~|XI(b) Thyroid carcinomas|14974472|2000
10-14|3.5|5.4|4.4|89|XI(b) Thyroid carcinomas|20164744|2000
15-19|15.1|18.7|16.8|333|XI(b) Thyroid carcinomas|19799255|2000
5-9|0.6|1.5|0.9|19|XI(b) Thyroid carcinomas|20008051|2000
<1|~|~|~|~|XI(b) Thyroid carcinomas|3767637|2000
1-4|~|~|~|~|XI(c) Nasopharyngeal carcinomas|14974472|2000
10-14|0.5|1.3|0.8|16|XI(c) Nasopharyngeal carcinomas|20164744|2000
15-19|0.7|1.6|1.1|21|XI(c) Nasopharyngeal carcinomas|19799255|2000
5-9|~|~|~|~|XI(c) Nasopharyngeal carcinomas|20008051|2000
<1|~|~|~|~|XI(c) Nasopharyngeal carcinomas|3767637|2000
1-4|~|~|~|~|XI(d) Malignant melanomas|14974472|2000
10-14|2.7|4.4|3.5|70|XI(d) Malignant melanomas|20164744|2000
15-19|13.8|17.3|15.5|306|XI(d) Malignant melanomas|19799255|2000
5-9|0.5|1.4|0.9|18|XI(d) Malignant melanomas|20008051|2000
<1|~|~|~|~|XI(d) Malignant melanomas|3767637|2000
1-4|~|~|~|~|XI(e) Skin carcinomas|14974472|2000
10-14|~|~|~|~|XI(e) Skin carcinomas|20164744|2000
15-19|~|~|~|~|XI(e) Skin carcinomas|19799255|2000
5-9|~|~|~|~|XI(e) Skin carcinomas|20008051|2000
<1|~|~|~|~|XI(e) Skin carcinomas|3767637|2000
1-4|~|~|~|~|XI(f) Other and unspecified carcinomas|14974472|2000
10-14|2.4|3.9|3.1|62|XI(f) Other and unspecified carcinomas|20164744|2000
15-19|9.6|12.6|11.1|219|XI(f) Other and unspecified carcinomas|19799255|2000
5-9|~|~|~|~|XI(f) Other and unspecified carcinomas|20008051|2000
<1|~|~|~|~|XI(f) Other and unspecified carcinomas|3767637|2000
1-4|~|~|~|~|XII Other and unspecified malignant neoplasms|14974472|2000
10-14|~|~|~|~|XII Other and unspecified malignant neoplasms|20164744|2000
15-19|0.7|1.6|1.1|21|XII Other and unspecified malignant neoplasms|19799255|2000
5-9|~|~|~|~|XII Other and unspecified malignant neoplasms|20008051|2000
<1|~|~|~|~|XII Other and unspecified malignant neoplasms|3767637|2000
1-4|~|~|~|~|XII(a) Other specified malignant tumors|14974472|2000
10-14|~|~|~|~|XII(a) Other specified malignant tumors|20164744|2000
15-19|~|~|~|~|XII(a) Other specified malignant tumors|19799255|2000
5-9|~|~|~|~|XII(a) Other specified malignant tumors|20008051|2000
<1|~|~|~|~|XII(a) Other specified malignant tumors|3767637|2000
1-4|~|~|~|~|XII(b) Other unspecified malignant tumors|14974472|2000
10-14|~|~|~|~|XII(b) Other unspecified malignant tumors|20164744|2000
15-19|0.6|1.5|1.0|19|XII(b) Other unspecified malignant tumors|19799255|2000
5-9|~|~|~|~|XII(b) Other unspecified malignant tumors|20008051|2000
<1|~|~|~|~|XII(b) Other unspecified malignant tumors|3767637|2000
1-4|210.0|225.0|217.4|3288|All ICCC Groups Combined|15123657|2001
10-14|127.5|137.4|132.4|2748|All ICCC Groups Combined|20758808|2001
15-19|206.4|219.1|212.7|4302|All ICCC Groups Combined|20227701|2001
5-9|110.9|120.4|115.6|2307|All ICCC Groups Combined|19962452|2001
<1|232.8|264.1|248.1|985|All ICCC Groups Combined|3970113|2001
1-4|87.1|96.9|91.9|1390|I Leukemias, myeloproliferative & myelodysplastic diseases|15123657|2001
10-14|28.6|33.5|31.0|643|I Leukemias, myeloproliferative & myelodysplastic diseases|20758808|2001
15-19|28.7|33.6|31.0|628|I Leukemias, myeloproliferative & myelodysplastic diseases|20227701|2001
5-9|36.2|41.8|38.9|777|I Leukemias, myeloproliferative & myelodysplastic diseases|19962452|2001
<1|42.0|56.0|48.6|193|I Leukemias, myeloproliferative & myelodysplastic diseases|3970113|2001
1-4|72.5|81.4|76.8|1162|I(a) Lymphoid leukemias|15123657|2001
10-14|18.6|22.6|20.5|426|I(a) Lymphoid leukemias|20758808|2001
15-19|13.9|17.4|15.6|315|I(a) Lymphoid leukemias|20227701|2001
5-9|29.1|34.1|31.6|630|I(a) Lymphoid leukemias|19962452|2001
<1|15.1|24.0|19.1|76|I(a) Lymphoid leukemias|3970113|2001
1-4|7.7|10.9|9.2|139|I(b) Acute myeloid leukemias|15123657|2001
10-14|5.9|8.2|6.9|144|I(b) Acute myeloid leukemias|20758808|2001
15-19|7.7|10.4|9.0|182|I(b) Acute myeloid leukemias|20227701|2001
5-9|3.8|5.8|4.7|94|I(b) Acute myeloid leukemias|19962452|2001
<1|11.8|19.7|15.4|61|I(b) Acute myeloid leukemias|3970113|2001
1-4|1.0|2.4|1.6|24|I(c) Chronic myeloproliferative diseases|15123657|2001
10-14|1.3|2.6|1.9|39|I(c) Chronic myeloproliferative diseases|20758808|2001
15-19|3.1|4.9|4.0|80|I(c) Chronic myeloproliferative diseases|20227701|2001
5-9|~|~|~|~|I(c) Chronic myeloproliferative diseases|19962452|2001
