AGE|AGE_SPECIFIC_CI_LOWER|AGE_SPECIFIC_CI_UPPER|AGE_SPECIFIC_RATE|COUNT|EVENT_TYPE|POPULATION|SITE|YEAR
<1|~|~|~|~|Incidence|3949775|Oral Cavity and Pharynx|2014
1-4|~|~|~|~|Incidence|7786048|Ovary|2014
10-14|0.6|1.0|0.8|81|Incidence|10125790|Ovary|2014
15-19|0.9|1.4|1.1|117|Incidence|10289324|Ovary|2014
5-9|0.2|0.4|0.2|24|Incidence|10045869|Ovary|2014
<1|~|~|~|~|Incidence|1929449|Ovary|2014
1-4|~|~|~|~|Incidence|15922235|Pancreas|2014
10-14|~|~|~|~|Incidence|20679895|Pancreas|2014
15-19|0.1|0.2|0.1|28|Incidence|21076826|Pancreas|2014
5-9|~|~|~|~|Incidence|20527408|Pancreas|2014
<1|~|~|~|~|Incidence|3949775|Pancreas|2014
1-4|~|~|~|~|Incidence|8136187|Prostate|2014
10-14|~|~|~|~|Incidence|10554105|Prostate|2014
15-19|~|~|~|~|Incidence|10787502|Prostate|2014
5-9|~|~|~|~|Incidence|10481539|Prostate|2014
<1|~|~|~|~|Incidence|2020326|Prostate|2014
1-4|~|~|~|~|Incidence|15922235|Stomach|2014
10-14|~|~|~|~|Incidence|20679895|Stomach|2014
15-19|~|~|~|~|Incidence|21076826|Stomach|2014
5-9|~|~|~|~|Incidence|20527408|Stomach|2014
<1|~|~|~|~|Incidence|3949775|Stomach|2014
1-4|0.2|0.4|0.2|20|Incidence|8136187|Testis|2014
10-14|0.1|0.2|0.2|16|Incidence|10554105|Testis|2014
15-19|3.1|3.8|3.5|373|Incidence|10787502|Testis|2014
5-9|~|~|~|~|Incidence|10481539|Testis|2014
<1|0.5|1.3|0.8|16|Incidence|2020326|Testis|2014
1-4|~|~|~|~|Incidence|15922235|Thyroid|2014
10-14|0.8|1.0|0.9|188|Incidence|20679895|Thyroid|2014
15-19|2.8|3.3|3.1|643|Incidence|21076826|Thyroid|2014
5-9|0.1|0.3|0.2|38|Incidence|20527408|Thyroid|2014
<1|~|~|~|~|Incidence|3949775|Thyroid|2014
1-4|~|~|~|~|Incidence|15922235|Urinary Bladder|2014
10-14|~|~|~|~|Incidence|20679895|Urinary Bladder|2014
15-19|0.0|0.1|0.1|17|Incidence|21076826|Urinary Bladder|2014
5-9|~|~|~|~|Incidence|20527408|Urinary Bladder|2014
<1|~|~|~|~|Incidence|3949775|Urinary Bladder|2014
1-4|1.8|2.2|2.0|321|Mortality|15922235|All Cancer Sites Combined|2014
10-14|1.8|2.2|2.0|416|Mortality|20679895|All Cancer Sites Combined|2014
15-19|2.7|3.1|2.9|612|Mortality|21076826|All Cancer Sites Combined|2014
5-9|1.9|2.3|2.1|436|Mortality|20527408|All Cancer Sites Combined|2014
<1|1.0|1.7|1.3|52|Mortality|3949775|All Cancer Sites Combined|2014
1-4|0.4|0.7|0.5|87|Mortality|15922235|Brain and Other Nervous System|2014
10-14|0.5|0.8|0.6|133|Mortality|20679895|Brain and Other Nervous System|2014
15-19|0.6|0.8|0.7|139|Mortality|21076826|Brain and Other Nervous System|2014
5-9|0.8|1.1|0.9|188|Mortality|20527408|Brain and Other Nervous System|2014
<1|~|~|~|~|Mortality|3949775|Brain and Other Nervous System|2014
1-4|~|~|~|~|Mortality|7786048|Cervix|2014
10-14|~|~|~|~|Mortality|10125790|Cervix|2014
15-19|~|~|~|~|Mortality|10289324|Cervix|2014
5-9|~|~|~|~|Mortality|10045869|Cervix|2014
<1|~|~|~|~|Mortality|1929449|Cervix|2014
1-4|~|~|~|~|Mortality|15922235|Colon and Rectum|2014
10-14|~|~|~|~|Mortality|20679895|Colon and Rectum|2014
15-19|~|~|~|~|Mortality|21076826|Colon and Rectum|2014
5-9|~|~|~|~|Mortality|20527408|Colon and Rectum|2014
<1|~|~|~|~|Mortality|3949775|Colon and Rectum|2014
1-4|~|~|~|~|Mortality|7786048|Corpus and Uterus, NOS|2014
10-14|~|~|~|~|Mortality|10125790|Corpus and Uterus, NOS|2014
15-19|~|~|~|~|Mortality|10289324|Corpus and Uterus, NOS|2014
5-9|~|~|~|~|Mortality|10045869|Corpus and Uterus, NOS|2014
<1|~|~|~|~|Mortality|1929449|Corpus and Uterus, NOS|2014
1-4|~|~|~|~|Mortality|15922235|Esophagus|2014
10-14|~|~|~|~|Mortality|20679895|Esophagus|2014
15-19|~|~|~|~|Mortality|21076826|Esophagus|2014
5-9|~|~|~|~|Mortality|20527408|Esophagus|2014
<1|~|~|~|~|Mortality|3949775|Esophagus|2014
1-4|~|~|~|~|Mortality|7786048|Female Breast|2014
10-14|~|~|~|~|Mortality|10125790|Female Breast|2014
15-19|~|~|~|~|Mortality|10289324|Female Breast|2014
5-9|~|~|~|~|Mortality|10045869|Female Breast|2014
<1|~|~|~|~|Mortality|1929449|Female Breast|2014
1-4|~|~|~|~|Mortality|15922235|Hodgkin Lymphoma|2014
10-14|~|~|~|~|Mortality|20679895|Hodgkin Lymphoma|2014
15-19|~|~|~|~|Mortality|21076826|Hodgkin Lymphoma|2014
5-9|~|~|~|~|Mortality|20527408|Hodgkin Lymphoma|2014
<1|~|~|~|~|Mortality|3949775|Hodgkin Lymphoma|2014
1-4|.|.|.|.|Mortality|15922235|Kaposi Sarcoma|2014
10-14|.|.|.|.|Mortality|20679895|Kaposi Sarcoma|2014
15-19|.|.|.|.|Mortality|21076826|Kaposi Sarcoma|2014
5-9|.|.|.|.|Mortality|20527408|Kaposi Sarcoma|2014
<1|.|.|.|.|Mortality|3949775|Kaposi Sarcoma|2014
1-4|~|~|~|~|Mortality|15922235|Kidney and Renal Pelvis|2014
10-14|~|~|~|~|Mortality|20679895|Kidney and Renal Pelvis|2014
15-19|~|~|~|~|Mortality|21076826|Kidney and Renal Pelvis|2014
5-9|~|~|~|~|Mortality|20527408|Kidney and Renal Pelvis|2014
<1|~|~|~|~|Mortality|3949775|Kidney and Renal Pelvis|2014
1-4|~|~|~|~|Mortality|15922235|Larynx|2014
10-14|~|~|~|~|Mortality|20679895|Larynx|2014
15-19|~|~|~|~|Mortality|21076826|Larynx|2014
5-9|~|~|~|~|Mortality|20527408|Larynx|2014
<1|~|~|~|~|Mortality|3949775|Larynx|2014
1-4|0.5|0.8|0.6|101|Mortality|15922235|Leukemias|2014
10-14|0.4|0.6|0.5|97|Mortality|20679895|Leukemias|2014
15-19|0.6|0.9|0.8|160|Mortality|21076826|Leukemias|2014
5-9|0.3|0.5|0.4|87|Mortality|20527408|Leukemias|2014
<1|~|~|~|~|Mortality|3949775|Leukemias|2014
1-4|~|~|~|~|Mortality|15922235|Liver and Intrahepatic Bile Duct|2014
10-14|~|~|~|~|Mortality|20679895|Liver and Intrahepatic Bile Duct|2014
15-19|~|~|~|~|Mortality|21076826|Liver and Intrahepatic Bile Duct|2014
5-9|~|~|~|~|Mortality|20527408|Liver and Intrahepatic Bile Duct|2014
<1|~|~|~|~|Mortality|3949775|Liver and Intrahepatic Bile Duct|2014
1-4|~|~|~|~|Mortality|15922235|Lung and Bronchus|2014
10-14|~|~|~|~|Mortality|20679895|Lung and Bronchus|2014
15-19|~|~|~|~|Mortality|21076826|Lung and Bronchus|2014
5-9|~|~|~|~|Mortality|20527408|Lung and Bronchus|2014
<1|~|~|~|~|Mortality|3949775|Lung and Bronchus|2014
1-4|~|~|~|~|Mortality|7786048|Male and Female Breast|2014
10-14|~|~|~|~|Mortality|10125790|Male and Female Breast|2014
15-19|~|~|~|~|Mortality|10289324|Male and Female Breast|2014
5-9|~|~|~|~|Mortality|10045869|Male and Female Breast|2014
<1|~|~|~|~|Mortality|1929449|Male and Female Breast|2014
1-4|~|~|~|~|Mortality|15922235|Melanomas of the Skin|2014
10-14|~|~|~|~|Mortality|20679895|Melanomas of the Skin|2014
15-19|~|~|~|~|Mortality|21076826|Melanomas of the Skin|2014
5-9|~|~|~|~|Mortality|20527408|Melanomas of the Skin|2014
<1|~|~|~|~|Mortality|3949775|Melanomas of the Skin|2014
1-4|~|~|~|~|Mortality|15922235|Mesothelioma|2014
10-14|~|~|~|~|Mortality|20679895|Mesothelioma|2014
15-19|~|~|~|~|Mortality|21076826|Mesothelioma|2014
5-9|~|~|~|~|Mortality|20527408|Mesothelioma|2014
<1|~|~|~|~|Mortality|3949775|Mesothelioma|2014
1-4|~|~|~|~|Mortality|15922235|Myeloma|2014
10-14|~|~|~|~|Mortality|20679895|Myeloma|2014
15-19|~|~|~|~|Mortality|21076826|Myeloma|2014
5-9|~|~|~|~|Mortality|20527408|Myeloma|2014
<1|~|~|~|~|Mortality|3949775|Myeloma|2014
1-4|~|~|~|~|Mortality|15922235|Non-Hodgkin Lymphoma|2014
10-14|0.1|0.1|0.1|19|Mortality|20679895|Non-Hodgkin Lymphoma|2014
15-19|0.1|0.2|0.1|30|Mortality|21076826|Non-Hodgkin Lymphoma|2014
5-9|~|~|~|~|Mortality|20527408|Non-Hodgkin Lymphoma|2014
<1|~|~|~|~|Mortality|3949775|Non-Hodgkin Lymphoma|2014
1-4|~|~|~|~|Mortality|15922235|Oral Cavity and Pharynx|2014
10-14|~|~|~|~|Mortality|20679895|Oral Cavity and Pharynx|2014
15-19|~|~|~|~|Mortality|21076826|Oral Cavity and Pharynx|2014
5-9|~|~|~|~|Mortality|20527408|Oral Cavity and Pharynx|2014
<1|~|~|~|~|Mortality|3949775|Oral Cavity and Pharynx|2014
1-4|~|~|~|~|Mortality|7786048|Ovary|2014
10-14|~|~|~|~|Mortality|10125790|Ovary|2014
15-19|~|~|~|~|Mortality|10289324|Ovary|2014
5-9|~|~|~|~|Mortality|10045869|Ovary|2014
<1|~|~|~|~|Mortality|1929449|Ovary|2014
1-4|~|~|~|~|Mortality|15922235|Pancreas|2014
10-14|~|~|~|~|Mortality|20679895|Pancreas|2014
15-19|~|~|~|~|Mortality|21076826|Pancreas|2014
5-9|~|~|~|~|Mortality|20527408|Pancreas|2014
<1|~|~|~|~|Mortality|3949775|Pancreas|2014
1-4|~|~|~|~|Mortality|8136187|Prostate|2014
10-14|~|~|~|~|Mortality|10554105|Prostate|2014
15-19|~|~|~|~|Mortality|10787502|Prostate|2014
5-9|~|~|~|~|Mortality|10481539|Prostate|2014
<1|~|~|~|~|Mortality|2020326|Prostate|2014
1-4|~|~|~|~|Mortality|15922235|Stomach|2014
10-14|~|~|~|~|Mortality|20679895|Stomach|2014
15-19|~|~|~|~|Mortality|21076826|Stomach|2014
5-9|~|~|~|~|Mortality|20527408|Stomach|2014
<1|~|~|~|~|Mortality|3949775|Stomach|2014
1-4|~|~|~|~|Mortality|8136187|Testis|2014
10-14|~|~|~|~|Mortality|10554105|Testis|2014
15-19|~|~|~|~|Mortality|10787502|Testis|2014
5-9|~|~|~|~|Mortality|10481539|Testis|2014
<1|~|~|~|~|Mortality|2020326|Testis|2014
1-4|~|~|~|~|Mortality|15922235|Thyroid|2014
10-14|~|~|~|~|Mortality|20679895|Thyroid|2014
15-19|~|~|~|~|Mortality|21076826|Thyroid|2014
5-9|~|~|~|~|Mortality|20527408|Thyroid|2014
<1|~|~|~|~|Mortality|3949775|Thyroid|2014
1-4|~|~|~|~|Mortality|15922235|Urinary Bladder|2014
10-14|~|~|~|~|Mortality|20679895|Urinary Bladder|2014
15-19|~|~|~|~|Mortality|21076826|Urinary Bladder|2014
5-9|~|~|~|~|Mortality|20527408|Urinary Bladder|2014
<1|~|~|~|~|Mortality|3949775|Urinary Bladder|2014
1-4|19.0|20.4|19.7|2957|Incidence|14991152|All Cancer Sites Combined|1999
10-14|11.9|12.9|12.4|2444|Incidence|19742631|All Cancer Sites Combined|1999
15-19|19.1|20.4|19.7|3865|Incidence|19585857|All Cancer Sites Combined|1999
5-9|10.6|11.5|11.1|2228|Incidence|20146188|All Cancer Sites Combined|1999
<1|21.9|25.0|23.4|869|Incidence|3708753|All Cancer Sites Combined|1999
1-4|3.6|4.3|3.9|589|Incidence|14991152|Brain and Other Nervous System|1999
10-14|2.4|2.9|2.6|522|Incidence|19742631|Brain and Other Nervous System|1999
15-19|1.8|2.2|2.0|398|Incidence|19585857|Brain and Other Nervous System|1999
5-9|3.1|3.6|3.3|666|Incidence|20146188|Brain and Other Nervous System|1999
<1|2.9|4.2|3.5|130|Incidence|3708753|Brain and Other Nervous System|1999
1-4|~|~|~|~|Incidence|7323088|Cervix|1999
10-14|~|~|~|~|Incidence|9626112|Cervix|1999
15-19|0.2|0.4|0.3|27|Incidence|9518101|Cervix|1999
5-9|~|~|~|~|Incidence|9827638|Cervix|1999
<1|~|~|~|~|Incidence|1809670|Cervix|1999
1-4|~|~|~|~|Incidence|14991152|Colon and Rectum|1999
10-14|~|~|~|~|Incidence|19742631|Colon and Rectum|1999
15-19|0.2|0.3|0.3|50|Incidence|19585857|Colon and Rectum|1999
5-9|~|~|~|~|Incidence|20146188|Colon and Rectum|1999
<1|~|~|~|~|Incidence|3708753|Colon and Rectum|1999
1-4|~|~|~|~|Incidence|7323088|Corpus and Uterus, NOS|1999
10-14|~|~|~|~|Incidence|9626112|Corpus and Uterus, NOS|1999
15-19|~|~|~|~|Incidence|9518101|Corpus and Uterus, NOS|1999
5-9|~|~|~|~|Incidence|9827638|Corpus and Uterus, NOS|1999
<1|~|~|~|~|Incidence|1809670|Corpus and Uterus, NOS|1999
1-4|~|~|~|~|Incidence|14991152|Esophagus|1999
10-14|~|~|~|~|Incidence|19742631|Esophagus|1999
15-19|~|~|~|~|Incidence|19585857|Esophagus|1999
5-9|~|~|~|~|Incidence|20146188|Esophagus|1999
<1|~|~|~|~|Incidence|3708753|Esophagus|1999
1-4|~|~|~|~|Incidence|7323088|Female Breast|1999
10-14|~|~|~|~|Incidence|9626112|Female Breast|1999
15-19|0.1|0.3|0.2|17|Incidence|9518101|Female Breast|1999
5-9|~|~|~|~|Incidence|9827638|Female Breast|1999
<1|~|~|~|~|Incidence|1809670|Female Breast|1999
1-4|~|~|~|~|Incidence|7323088|Female Breast, <i>in situ</i>|1999
10-14|~|~|~|~|Incidence|9626112|Female Breast, <i>in situ</i>|1999
15-19|~|~|~|~|Incidence|9518101|Female Breast, <i>in situ</i>|1999
5-9|~|~|~|~|Incidence|9827638|Female Breast, <i>in situ</i>|1999
<1|~|~|~|~|Incidence|1809670|Female Breast, <i>in situ</i>|1999
1-4|~|~|~|~|Incidence|14991152|Hodgkin Lymphoma|1999
10-14|1.0|1.3|1.1|227|Incidence|19742631|Hodgkin Lymphoma|1999
15-19|2.9|3.4|3.1|607|Incidence|19585857|Hodgkin Lymphoma|1999
5-9|0.3|0.5|0.4|79|Incidence|20146188|Hodgkin Lymphoma|1999
<1|~|~|~|~|Incidence|3708753|Hodgkin Lymphoma|1999
1-4|~|~|~|~|Incidence|14991152|Kaposi Sarcoma|1999
10-14|~|~|~|~|Incidence|19742631|Kaposi Sarcoma|1999
15-19|~|~|~|~|Incidence|19585857|Kaposi Sarcoma|1999
5-9|~|~|~|~|Incidence|20146188|Kaposi Sarcoma|1999
<1|~|~|~|~|Incidence|3708753|Kaposi Sarcoma|1999
1-4|1.7|2.1|1.9|286|Incidence|14991152|Kidney and Renal Pelvis|1999
10-14|0.1|0.2|0.1|25|Incidence|19742631|Kidney and Renal Pelvis|1999
15-19|0.1|0.2|0.1|29|Incidence|19585857|Kidney and Renal Pelvis|1999
5-9|0.4|0.6|0.5|107|Incidence|20146188|Kidney and Renal Pelvis|1999
<1|1.4|2.4|1.9|69|Incidence|3708753|Kidney and Renal Pelvis|1999
1-4|~|~|~|~|Incidence|14991152|Larynx|1999
10-14|~|~|~|~|Incidence|19742631|Larynx|1999
15-19|~|~|~|~|Incidence|19585857|Larynx|1999
5-9|~|~|~|~|Incidence|20146188|Larynx|1999
<1|~|~|~|~|Incidence|3708753|Larynx|1999
1-4|7.5|8.4|7.9|1191|Incidence|14991152|Leukemias|1999
10-14|2.6|3.1|2.8|559|Incidence|19742631|Leukemias|1999
15-19|2.4|2.9|2.7|523|Incidence|19585857|Leukemias|1999
5-9|3.4|3.9|3.6|734|Incidence|20146188|Leukemias|1999
<1|3.7|5.1|4.4|162|Incidence|3708753|Leukemias|1999
1-4|0.4|0.6|0.5|69|Incidence|14991152|Liver and Intrahepatic Bile Duct|1999
10-14|0.1|0.1|0.1|18|Incidence|19742631|Liver and Intrahepatic Bile Duct|1999
15-19|0.1|0.2|0.2|35|Incidence|19585857|Liver and Intrahepatic Bile Duct|1999
5-9|~|~|~|~|Incidence|20146188|Liver and Intrahepatic Bile Duct|1999
<1|0.7|1.4|1.0|38|Incidence|3708753|Liver and Intrahepatic Bile Duct|1999
1-4|~|~|~|~|Incidence|14991152|Lung and Bronchus|1999
10-14|~|~|~|~|Incidence|19742631|Lung and Bronchus|1999
15-19|0.1|0.2|0.2|30|Incidence|19585857|Lung and Bronchus|1999
5-9|~|~|~|~|Incidence|20146188|Lung and Bronchus|1999
<1|~|~|~|~|Incidence|3708753|Lung and Bronchus|1999
1-4|~|~|~|~|Incidence|7323088|Male and Female Breast|1999
10-14|~|~|~|~|Incidence|9626112|Male and Female Breast|1999
15-19|0.1|0.3|0.2|17|Incidence|9518101|Male and Female Breast|1999
5-9|~|~|~|~|Incidence|9827638|Male and Female Breast|1999
<1|~|~|~|~|Incidence|1809670|Male and Female Breast|1999
1-4|~|~|~|~|Incidence|7323088|Male and Female Breast, <i>in situ</i>|1999
10-14|~|~|~|~|Incidence|9626112|Male and Female Breast, <i>in situ</i>|1999
15-19|~|~|~|~|Incidence|9518101|Male and Female Breast, <i>in situ</i>|1999
5-9|~|~|~|~|Incidence|9827638|Male and Female Breast, <i>in situ</i>|1999
<1|~|~|~|~|Incidence|1809670|Male and Female Breast, <i>in situ</i>|1999
1-4|~|~|~|~|Incidence|14991152|Melanomas of the Skin|1999
10-14|0.3|0.4|0.3|65|Incidence|19742631|Melanomas of the Skin|1999
15-19|1.2|1.5|1.3|259|Incidence|19585857|Melanomas of the Skin|1999
5-9|~|~|~|~|Incidence|20146188|Melanomas of the Skin|1999
<1|~|~|~|~|Incidence|3708753|Melanomas of the Skin|1999
1-4|~|~|~|~|Incidence|14991152|Mesothelioma|1999
10-14|~|~|~|~|Incidence|19742631|Mesothelioma|1999
15-19|~|~|~|~|Incidence|19585857|Mesothelioma|1999
5-9|~|~|~|~|Incidence|20146188|Mesothelioma|1999
<1|~|~|~|~|Incidence|3708753|Mesothelioma|1999
1-4|~|~|~|~|Incidence|14991152|Myeloma|1999
10-14|~|~|~|~|Incidence|19742631|Myeloma|1999
15-19|~|~|~|~|Incidence|19585857|Myeloma|1999
5-9|~|~|~|~|Incidence|20146188|Myeloma|1999
<1|~|~|~|~|Incidence|3708753|Myeloma|1999
1-4|0.6|0.8|0.7|105|Incidence|14991152|Non-Hodgkin Lymphoma|1999
10-14|1.0|1.3|1.2|232|Incidence|19742631|Non-Hodgkin Lymphoma|1999
15-19|1.4|1.7|1.6|305|Incidence|19585857|Non-Hodgkin Lymphoma|1999
5-9|0.8|1.0|0.9|177|Incidence|20146188|Non-Hodgkin Lymphoma|1999
<1|~|~|~|~|Incidence|3708753|Non-Hodgkin Lymphoma|1999
1-4|~|~|~|~|Incidence|14991152|Oral Cavity and Pharynx|1999
10-14|0.2|0.4|0.3|53|Incidence|19742631|Oral Cavity and Pharynx|1999
15-19|0.3|0.5|0.4|70|Incidence|19585857|Oral Cavity and Pharynx|1999
5-9|0.1|0.1|0.1|18|Incidence|20146188|Oral Cavity and Pharynx|1999
<1|~|~|~|~|Incidence|3708753|Oral Cavity and Pharynx|1999
1-4|~|~|~|~|Incidence|7323088|Ovary|1999
10-14|0.5|0.9|0.7|67|Incidence|9626112|Ovary|1999
15-19|1.1|1.6|1.3|124|Incidence|9518101|Ovary|1999
5-9|0.1|0.3|0.2|17|Incidence|9827638|Ovary|1999
<1|~|~|~|~|Incidence|1809670|Ovary|1999
1-4|~|~|~|~|Incidence|14991152|Pancreas|1999
10-14|~|~|~|~|Incidence|19742631|Pancreas|1999
15-19|~|~|~|~|Incidence|19585857|Pancreas|1999
5-9|~|~|~|~|Incidence|20146188|Pancreas|1999
<1|~|~|~|~|Incidence|3708753|Pancreas|1999
1-4|~|~|~|~|Incidence|7668064|Prostate|1999
10-14|~|~|~|~|Incidence|10116519|Prostate|1999
15-19|~|~|~|~|Incidence|10067756|Prostate|1999
5-9|~|~|~|~|Incidence|10318550|Prostate|1999
<1|~|~|~|~|Incidence|1899083|Prostate|1999
1-4|~|~|~|~|Incidence|14991152|Stomach|1999
10-14|~|~|~|~|Incidence|19742631|Stomach|1999
15-19|~|~|~|~|Incidence|19585857|Stomach|1999
5-9|~|~|~|~|Incidence|20146188|Stomach|1999
<1|~|~|~|~|Incidence|3708753|Stomach|1999
1-4|0.2|0.5|0.4|27|Incidence|7668064|Testis|1999
10-14|~|~|~|~|Incidence|10116519|Testis|1999
15-19|2.9|3.7|3.3|331|Incidence|10067756|Testis|1999
5-9|~|~|~|~|Incidence|10318550|Testis|1999
<1|0.6|1.6|1.1|20|Incidence|1899083|Testis|1999
1-4|~|~|~|~|Incidence|14991152|Thyroid|1999
10-14|0.3|0.5|0.4|72|Incidence|19742631|Thyroid|1999
15-19|1.6|2.0|1.8|344|Incidence|19585857|Thyroid|1999
5-9|0.1|0.2|0.2|32|Incidence|20146188|Thyroid|1999
<1|~|~|~|~|Incidence|3708753|Thyroid|1999
1-4|~|~|~|~|Incidence|14991152|Urinary Bladder|1999
10-14|~|~|~|~|Incidence|19742631|Urinary Bladder|1999
15-19|0.1|0.2|0.1|21|Incidence|19585857|Urinary Bladder|1999
5-9|~|~|~|~|Incidence|20146188|Urinary Bladder|1999
<1|~|~|~|~|Incidence|3708753|Urinary Bladder|1999
1-4|2.5|3.0|2.7|418|Mortality|15339782|All Cancer Sites Combined|1999
10-14|2.3|2.7|2.5|503|Mortality|20213364|All Cancer Sites Combined|1999
15-19|3.4|4.0|3.7|745|Mortality|20084602|All Cancer Sites Combined|1999
5-9|2.3|2.7|2.5|509|Mortality|20606460|All Cancer Sites Combined|1999
<1|1.4|2.3|1.8|68|Mortality|3795762|All Cancer Sites Combined|1999
1-4|0.6|0.9|0.7|113|Mortality|15339782|Brain and Other Nervous System|1999
10-14|0.5|0.7|0.6|124|Mortality|20213364|Brain and Other Nervous System|1999
15-19|0.5|0.7|0.6|115|Mortality|20084602|Brain and Other Nervous System|1999
5-9|0.8|1.0|0.9|184|Mortality|20606460|Brain and Other Nervous System|1999
<1|~|~|~|~|Mortality|3795762|Brain and Other Nervous System|1999
1-4|~|~|~|~|Mortality|7493614|Cervix|1999
10-14|~|~|~|~|Mortality|9855664|Cervix|1999
15-19|~|~|~|~|Mortality|9761569|Cervix|1999
5-9|~|~|~|~|Mortality|10052618|Cervix|1999
<1|~|~|~|~|Mortality|1852123|Cervix|1999
1-4|~|~|~|~|Mortality|15339782|Colon and Rectum|1999
10-14|~|~|~|~|Mortality|20213364|Colon and Rectum|1999
15-19|~|~|~|~|Mortality|20084602|Colon and Rectum|1999
5-9|~|~|~|~|Mortality|20606460|Colon and Rectum|1999
<1|~|~|~|~|Mortality|3795762|Colon and Rectum|1999
1-4|~|~|~|~|Mortality|7493614|Corpus and Uterus, NOS|1999
10-14|~|~|~|~|Mortality|9855664|Corpus and Uterus, NOS|1999
15-19|~|~|~|~|Mortality|9761569|Corpus and Uterus, NOS|1999
5-9|~|~|~|~|Mortality|10052618|Corpus and Uterus, NOS|1999
<1|~|~|~|~|Mortality|1852123|Corpus and Uterus, NOS|1999
1-4|~|~|~|~|Mortality|15339782|Esophagus|1999
10-14|~|~|~|~|Mortality|20213364|Esophagus|1999
15-19|~|~|~|~|Mortality|20084602|Esophagus|1999
5-9|~|~|~|~|Mortality|20606460|Esophagus|1999
<1|~|~|~|~|Mortality|3795762|Esophagus|1999
1-4|~|~|~|~|Mortality|7493614|Female Breast|1999
10-14|~|~|~|~|Mortality|9855664|Female Breast|1999
15-19|~|~|~|~|Mortality|9761569|Female Breast|1999
5-9|~|~|~|~|Mortality|10052618|Female Breast|1999
<1|~|~|~|~|Mortality|1852123|Female Breast|1999
1-4|~|~|~|~|Mortality|15339782|Hodgkin Lymphoma|1999
10-14|~|~|~|~|Mortality|20213364|Hodgkin Lymphoma|1999
15-19|0.1|0.2|0.2|31|Mortality|20084602|Hodgkin Lymphoma|1999
5-9|~|~|~|~|Mortality|20606460|Hodgkin Lymphoma|1999
<1|~|~|~|~|Mortality|3795762|Hodgkin Lymphoma|1999
1-4|.|.|.|.|Mortality|15339782|Kaposi Sarcoma|1999
10-14|.|.|.|.|Mortality|20213364|Kaposi Sarcoma|1999
15-19|.|.|.|.|Mortality|20084602|Kaposi Sarcoma|1999
5-9|.|.|.|.|Mortality|20606460|Kaposi Sarcoma|1999
<1|.|.|.|.|Mortality|3795762|Kaposi Sarcoma|1999
1-4|0.1|0.2|0.1|19|Mortality|15339782|Kidney and Renal Pelvis|1999
10-14|~|~|~|~|Mortality|20213364|Kidney and Renal Pelvis|1999
15-19|~|~|~|~|Mortality|20084602|Kidney and Renal Pelvis|1999
5-9|0.1|0.2|0.1|23|Mortality|20606460|Kidney and Renal Pelvis|1999
<1|~|~|~|~|Mortality|3795762|Kidney and Renal Pelvis|1999
1-4|~|~|~|~|Mortality|15339782|Larynx|1999
10-14|~|~|~|~|Mortality|20213364|Larynx|1999
15-19|~|~|~|~|Mortality|20084602|Larynx|1999
5-9|~|~|~|~|Mortality|20606460|Larynx|1999
<1|~|~|~|~|Mortality|3795762|Larynx|1999
1-4|0.6|0.9|0.8|119|Mortality|15339782|Leukemias|1999
10-14|0.7|1.0|0.9|175|Mortality|20213364|Leukemias|1999
15-19|1.0|1.3|1.1|221|Mortality|20084602|Leukemias|1999
5-9|0.5|0.7|0.6|130|Mortality|20606460|Leukemias|1999
<1|0.5|1.0|0.7|27|Mortality|3795762|Leukemias|1999
1-4|0.1|0.3|0.2|29|Mortality|15339782|Liver and Intrahepatic Bile Duct|1999
10-14|~|~|~|~|Mortality|20213364|Liver and Intrahepatic Bile Duct|1999
15-19|0.1|0.1|0.1|19|Mortality|20084602|Liver and Intrahepatic Bile Duct|1999
5-9|~|~|~|~|Mortality|20606460|Liver and Intrahepatic Bile Duct|1999
<1|~|~|~|~|Mortality|3795762|Liver and Intrahepatic Bile Duct|1999
1-4|~|~|~|~|Mortality|15339782|Lung and Bronchus|1999
10-14|~|~|~|~|Mortality|20213364|Lung and Bronchus|1999
15-19|~|~|~|~|Mortality|20084602|Lung and Bronchus|1999
5-9|~|~|~|~|Mortality|20606460|Lung and Bronchus|1999
<1|~|~|~|~|Mortality|3795762|Lung and Bronchus|1999
1-4|~|~|~|~|Mortality|7493614|Male and Female Breast|1999
10-14|~|~|~|~|Mortality|9855664|Male and Female Breast|1999
15-19|~|~|~|~|Mortality|9761569|Male and Female Breast|1999
5-9|~|~|~|~|Mortality|10052618|Male and Female Breast|1999
<1|~|~|~|~|Mortality|1852123|Male and Female Breast|1999
1-4|~|~|~|~|Mortality|15339782|Melanomas of the Skin|1999
10-14|~|~|~|~|Mortality|20213364|Melanomas of the Skin|1999
15-19|~|~|~|~|Mortality|20084602|Melanomas of the Skin|1999
5-9|~|~|~|~|Mortality|20606460|Melanomas of the Skin|1999
<1|~|~|~|~|Mortality|3795762|Melanomas of the Skin|1999
1-4|~|~|~|~|Mortality|15339782|Mesothelioma|1999
10-14|~|~|~|~|Mortality|20213364|Mesothelioma|1999
15-19|~|~|~|~|Mortality|20084602|Mesothelioma|1999
5-9|~|~|~|~|Mortality|20606460|Mesothelioma|1999
<1|~|~|~|~|Mortality|3795762|Mesothelioma|1999
1-4|~|~|~|~|Mortality|15339782|Myeloma|1999
10-14|~|~|~|~|Mortality|20213364|Myeloma|1999
